"","gene","logFC","logCPM","LR","PValue","FDR"
"6592","UGP2",-0.490790555840947,7.67181070525587,0.804780310603958,0.369667967336698,0.58225520892551
"6593","KIAA0753",-0.625978969339852,7.28236919023275,0.804723182116451,0.369684956899642,0.58225520892551
"6594","USP21",1.09263695470708,5.6403551930943,0.803304221886271,0.370107294046057,0.582831989896004
"6595","ARRDC2",-1.65868632451175,5.51200150081831,0.802787450323162,0.370261272277814,0.582986057821504
"6596","CDK15",-1.65539660108328,5.53825309586171,0.802139292574064,0.370454524938885,0.583201908272496
"6597","DUS2",0.700960433633396,6.28494336629872,0.801763306233992,0.370566692332425,0.583217974177652
"6598","DOCK6",-1.07302806518335,5.90869742915385,0.801728560881451,0.370577060248859,0.583217974177652
"6599","FAM204A",-0.624135116542215,7.22647891065454,0.801058002262277,0.370777232393854,0.583444579660218
"6600","TCAP",-1.65768698030595,5.50614739586196,0.80075770671973,0.370866924195471,0.583493436133473
"6601","PBRM1",0.413381525024328,8.20659255533807,0.80047253506741,0.370952126857167,0.583493436133473
"6602","FTSJ1",-1.64737084298158,5.6411991786436,0.800389786596655,0.370976855292102,0.583493436133473
"6603","KDM8",-1.65698366519869,5.71110677314074,0.799823336738246,0.37114619417946,0.58363301831351
"6604","CLPTM1",-0.620608383584158,6.84088507907623,0.799716951902558,0.371178009720957,0.58363301831351
"6605","PARP3",-1.66489424193802,5.51994632458943,0.799341368969704,0.371290362343643,0.583689365837763
"6606","GNPNAT1",-1.05707101696706,6.13479862227733,0.799221378835547,0.371326266441088,0.583689365837763
"6607","NFATC3",-0.527116760547299,7.57023185860834,0.798602976239694,0.371511385139622,0.583832101488183
"6608","ZMIZ2",-0.864894177120312,6.70599530655088,0.798423929590226,0.371565006787153,0.583832101488183
"6609","PAOX",-1.65623009995741,5.57290089110853,0.798354698419585,0.37158574332968,0.583832101488183
"6610","SLC38A5",-1.6556651929985,5.45642901774564,0.79725885550578,0.371914192382008,0.584202702502079
"6611","SLC35B2",1.09608196489992,5.69249693701851,0.797092540595449,0.371964076204377,0.584202702502079
"6612","PABPN1",-0.593260878680365,7.26336804837041,0.797004802777476,0.371990395699513,0.584202702502079
"6613","AADAT",0.892066264551117,5.82782762207696,0.79643897371143,0.372160195039005,0.584345449140149
"6614","SIX5",-1.66085572237421,5.5028647725677,0.795868388630396,0.372331531369363,0.584345449140149
"6615","RCN3",-1.66083318988143,5.50047120207373,0.795838564706405,0.372340489985004,0.584345449140149
"6616","UBQLN4",-1.08527419247195,5.94706433942203,0.795651416839101,0.372396713004183,0.584345449140149
"6617","PIAS4",-1.08723015770932,6.10351633420082,0.795492429114157,0.37244448547344,0.584345449140149
"6618","TAF6",-1.6393041386933,5.73694404530831,0.795288276014356,0.372505841759817,0.584345449140149
"6619","ZNF784",-1.66036908980184,5.45501849830978,0.795222753503422,0.372525536928845,0.584345449140149
"6620","LLGL2",-1.64662651663592,5.66127966286401,0.795202987667482,0.372531478554294,0.584345449140149
"6621","MTX1",1.25985406721342,5.72524030475396,0.794543554799793,0.372729780596689,0.584395290888296
"6622","C1orf174",-1.63733672520172,5.58455159519184,0.794486703085375,0.372746883733822,0.584395290888296
"6623","MBIP",-0.838128703904693,6.656732860214,0.794445548702297,0.372759265207596,0.584395290888296
"6624","TRAM1L1",-1.65109555455383,5.5838937307561,0.794348824466725,0.372788367377126,0.584395290888296
"6625","ETV1",0.539198327929573,6.87933988193634,0.793553919857198,0.373027656965791,0.584621591246292
"6626","SLC43A2",-0.843771974167311,6.41660847567203,0.793495253265293,0.373045325847258,0.584621591246292
"6627","SULF2",0.619120974296973,6.61650890445552,0.792953170541754,0.373208642779362,0.584747475379036
"6628","TSKS",-1.65030762101876,5.44254720221531,0.792854844519062,0.373238276850178,0.584747475379036
"6629","BNIPL",-1.64078741997629,5.51903790532922,0.791694598910574,0.37358820741681,0.585158665215918
"6630","DNAJC27",-0.84861521583288,6.43439366398676,0.791512623205888,0.373643133047631,0.585158665215918
"6631","NPY5R",-1.63457241120265,5.6273900618425,0.791424315697525,0.373669790932854,0.585158665215918
"6632","DNAJC18",-0.668351217752199,6.92464461270821,0.790751011712967,0.373873132636513,0.585388813223395
"6633","IFT88",-0.505236229170854,7.68795770860148,0.790511361201881,0.373945545892614,0.585413922591423
"6634","TMEM222",-0.869574783974623,6.37189619801924,0.790317856298041,0.374004030046609,0.585417221586371
"6635","FAM20C",-0.762666541106279,6.45511855701896,0.790053487910796,0.374083952420728,0.585454071128385
"6636","TMEM160",-0.728985888622157,6.57685304671967,0.789401694011488,0.374281101407732,0.585674345542177
"6637","CCNC",-0.557915951961318,7.22127442151482,0.788945225338656,0.374419256843228,0.585696045717577
"6638","KDM5A",-0.463355836126239,7.88666093311604,0.78889227809341,0.374435286556927,0.585696045717577
"6639","KCNS3",1.25983658276922,5.52108770066845,0.788796848330999,0.374464180231028,0.585696045717577
"6640","CTXN1",-0.633441316986881,6.84302557903744,0.787397983245374,0.374888079667736,0.586270755914121
"6641","BRD9",0.731387423859951,6.25152198367307,0.785402450687648,0.375493954043322,0.587129832673671
"6642","MED8",-1.08581834173961,6.03863471961021,0.784901188269076,0.3756463610202,0.587274284940494
"6643","GSE1",-0.556781635421567,7.19475891072484,0.784726651530486,0.375699448657521,0.587274284940494
"6644","MYL9",1.27821661894258,5.56353691405589,0.784242331756326,0.375846816067816,0.587374299184383
"6645","STK32A",0.576399258894675,6.43257573903287,0.78414460530103,0.375876561833612,0.587374299184383
"6646","DDX52",-0.839552233042625,6.550714124692,0.783245846978019,0.376150279081772,0.5877135868169
"6647","SGCZ",0.411154706370216,8.15167417094265,0.783053907591366,0.376208770599793,0.587716544893674
"6648","MIB2",-0.828773626779769,6.62293093879289,0.78081188922788,0.376892950181798,0.588613615971391
"6649","KYNU",-1.63402076123797,5.5734527150795,0.780800688695353,0.37689637255333,0.588613615971391
"6650","TBL3",1.26719463480904,5.47104646912125,0.780490479021914,0.376991175845213,0.588640675052775
